Name,Category,City,State,Latitude,Longitude,Rating,Estimated Visit Time (mins),Review Count,Description
Charminar,Historical,Hyderabad,Telangana,17.3616,78.4742,4.5,60,960,"Iconic 16th-century mosque and monument, symbol of Hyderabad"
Ramoji Film City,Entertainment,Hyderabad,Telangana,17.2517,78.6851,4.4,240,1394,"World's largest integrated film city and theme park"
Golconda Fort,Historical,Hyderabad,Telangana,17.3833,78.4011,4.6,120,1230,"Ancient fort known for its acoustic architecture and diamond trade history"
Hussain Sagar Lake,Nature,Hyderabad,Telangana,17.4239,78.4738,4.3,90,1195,"Heart-shaped lake with Buddha statue and boating facilities"
Birla Mandir,Religious,Hyderabad,Telangana,17.4062,78.4691,4.5,60,1738,"Modern white marble temple dedicated to Lord Venkateswara"
Salar Jung Museum,Museum,Hyderabad,Telangana,17.3713,78.4804,4.4,120,2269,"One of India's largest museums with rare art collections"
Nehru Zoological Park,Nature,Hyderabad,Telangana,17.3507,78.4519,4.2,150,566,"Large zoo with diverse wildlife and safari options"
Shilparamam,Culture,Hyderabad,Telangana,17.4505,78.3802,4.3,90,1338,"Traditional crafts village showcasing local arts and culture"
Chowmahalla Palace,Historical,Hyderabad,Telangana,17.3578,78.4716,4.5,90,430,"Former royal palace with stunning architecture and gardens"
KBR National Park,Nature,Hyderabad,Telangana,17.4137,78.4199,4.2,90,1582,"Urban national park with diverse flora and fauna"
Bhongir Fort,Historical,Bhongir,Telangana,17.511,78.8858,4.1,90,2235,"Ancient hill fort with panoramic views"
Yadagirigutta Temple,Religious,Yadagirigutta,Telangana,17.5931,78.9447,4.5,90,230,"Famous temple dedicated to Lord Narasimha"
Medak Cathedral,Religious,Medak,Telangana,18.0456,78.2608,4.4,60,1785,"Largest church in Asia with Gothic architecture"
Pakhal Lake,Nature,Warangal,Telangana,17.9339,79.9519,4.3,120,869,"Man-made lake surrounded by hills and wildlife"
Thousand Pillar Temple,Religious,Warangal,Telangana,17.9784,79.5941,4.5,90,2491,"Ancient temple with unique architecture and sculptures"
Bhadrakali Temple,Religious,Warangal,Telangana,17.9787,79.5941,4.4,60,1615,"Historic temple dedicated to Goddess Bhadrakali"
Ramappa Temple,Religious,Warangal,Telangana,18.2376,79.9427,4.6,90,2953,"UNESCO World Heritage site with unique architecture"
Birla Science Museum,Science,Hyderabad,Telangana,17.4062,78.4691,4.4,90,2533,"Interactive science museum with planetarium"
Lumbini Park,Nature,Hyderabad,Telangana,17.4156,78.4747,4.3,60,1315,"Urban park with musical fountain and boating"
Snow World,Adventure,Hyderabad,Telangana,17.412,78.4785,4.1,90,1055,"Indoor snow theme park with various activities"
Wonderla Amusement Park,Adventure,Hyderabad,Telangana,17.2189,78.4296,4.4,240,2424,"Modern amusement park with thrilling rides"
Peddamma Temple,Religious,Hyderabad,Telangana,17.4357,78.4033,4.5,60,1284,"Popular temple dedicated to Goddess Peddamma"
Kuntala Waterfalls,Nature,Adilabad,Telangana,19.1792,78.8106,4.4,120,559,"Highest waterfall in Telangana"
Bogatha Waterfalls,Nature/Adventure,Khammam,Telangana,18.3667,80.6833,4.3,120,121,"Scenic waterfall surrounded by lush greenery"
Pocharam Wildlife Sanctuary,Wildlife,Medak,Telangana,17.7662,78.0981,4.1,150,2400,"Wildlife sanctuary with diverse flora and fauna"
Ananthagiri Hills,Nature/Adventure,Vikarabad,Telangana,17.2974,77.9048,4.3,150,847,"Scenic hill station with trekking trails"
Medaram Jatara Site,Culture,Mulugu,Telangana,18.2671,80.4394,4.3,90,574,"Largest tribal fair in Asia"
Komati Cheruvu Suspension Bridge,Adventure,Siddipet,Telangana,18.0992,78.8525,4.2,90,1182,"Longest suspension bridge in Telangana"
Sri Rama Chandra Swamy Temple,Religious,Bhadrachalam,Telangana,17.6685,80.8885,4.6,60,2658,"Historic temple dedicated to Lord Rama"
Ethipothala Waterfalls,Nature,Nalgonda,Telangana,16.8655,79.0568,4.2,90,2147,"Three-tiered waterfall on Krishna River"
Laknavaram Lake,Nature,Warangal,Telangana,17.9528,79.4762,4.5,120,2847,"Scenic lake with floating cottages"
Araku Valley,Nature/Adventure,Araku Valley,Andhra Pradesh,18.3272,82.8722,4.6,180,1075,"Scenic hill station known for coffee plantations and tribal culture"
Borra Caves,Nature/Adventure,Visakhapatnam,Andhra Pradesh,18.3276,83.0395,4.5,90,1906,"Ancient limestone caves with stunning stalactite formations"
Kailasagiri,Nature/Viewpoint,Visakhapatnam,Andhra Pradesh,17.7446,83.3422,4.4,60,289,"Hilltop park with panoramic views of the city"
Rishikonda Beach,Nature/Beach,Visakhapatnam,Andhra Pradesh,17.7815,83.3767,4.5,120,2834,"Pristine beach with water sports activities"
Yarada Beach,Nature/Beach,Visakhapatnam,Andhra Pradesh,17.657,83.2747,4.3,120,662,"Secluded beach with golden sands"
Undavalli Caves,History,Guntur,Andhra Pradesh,16.5173,80.6043,4.4,60,1999,"Ancient rock-cut caves with impressive architecture"
Amaravati Stupa,History/Religious,Amaravati,Andhra Pradesh,16.5715,80.3565,4.2,60,1367,"Ancient Buddhist stupa with rich history"
Lepakshi Temple,Religious/Architecture,Anantapur,Andhra Pradesh,13.8046,77.6088,4.5,90,2979,"Famous for hanging pillar and intricate carvings"
Kanaka Durga Temple,Religious,Vijayawada,Andhra Pradesh,16.5286,80.62,4.6,60,1628,"Ancient temple dedicated to Goddess Durga"
Sri Venkateswara Temple (Tirupati),Religious,Tirupati,Andhra Pradesh,13.6789,79.3527,4.8,120,746,"One of the richest and most visited temples in the world"
Horsley Hills,Nature/Adventure,Chittoor,Andhra Pradesh,13.6602,78.3995,4.3,150,2168,"Scenic hill station with panoramic views"
